,product_id,user_name,rate_stars,review_title,review_date,comment_content,sentiment,label1
0,B00JN9EP6E,Alanamous,5.0,Perfect cover-up for the poop eating pup!,2019-06-01,"My pup is one of those dogs who has the nasty habit of eating poop. If I don't monitor her then she will eat her own and  her sister's feces as well. Plus, both of my pups love to eat the cat and possum poop that gets burried under the mulch along the sidewalks late at night while the rest of the neighborhood sleeps soundly and unsuspectingly. My pups will yank me off course the second they smell the pungent poop de possum, burrying their noses in the dirt and slurping it up before I am able to react. DISGUSTING!!!!Lucky for me, awhile ago a friend accidentally had one of her orders from Chewy shipped to me. We got everything straightened out and sent her a new box, but I got to keep the box sent to me and I shared some of the goodies with a local rescue too. Anyways, among the goodies she had ordered were these Twistix Yogurt Chew Treats. She had ordered both the banana and mint flavors. I gave one to each of my sweet puppies, at a time when they were behaving, and I noticed how wonderful it made their breath smell. Surprisingly enough, my doggy doo doo eater normally has pretty good breath, however my other pup has pretty disgusting breath from licking her anal glands. Poop pup.Well, the next time Poopy Puppy managed to snag herself a disgusting snack I decided she needed to floss her teeth with a Twistix Yogurt and Banana Dental Chew treat. Boy am I glad I gave her one! It did the trick of cleaning out the nasty particles that I could see clinging to her back teeth when she had flashed me a big, toothy grin and I easily caught a waft of her sewage breath. But after the Twistix I wasn't as paranoid about her stealing one of my pillows off of the couch or doing something equally appalling.I know I chose to live with this disgusting monster, and I definitely love her. But I'm truly thankful to have discovered something that helps make the difficult parts much more bearable. Because it's no fun to think the best thing in your life is unbearable in the slightest.",positive,Sentiment: Positive
1,B00JN9EP6E,Lynn Y.,5.0,Dog Loves These,2024-02-02,My dog thinks this is a treat and she is very fussy.,positive,Positive
2,B00JN9EP6E,Lola's Mommy,4.0,Excellent product but WAY overpriced for some reason,2018-04-19,"I took a star off because for some reason the price recently jumped from $4 to $12. Last time this happened was because of repackaging so fingers crossed it goes back down again soon. That said, my dog absolutely loves these and has been eating one of these a day since she was a puppy. She has a severe underbite and her bottom teeth stick out no matter what, but our vet is always shocked those teeth are in perfect condition. As a puppy they told us we might have to remove those teeth in a year or two because they’re constantly out and would rot, but we’re almost to 9 years & the vet said to keep doing what we’re doing because those teeth are in great condition!",positive,Category: Neutral
3,B00JN9EP6E,Karen Taylor,5.0,No more poop breath!!!,2023-03-10,"My pup's breath smelled like poop, as if he ate some. I tried brushing and Dentastix but neither helped. After ne pack of these, his breath doesn't smell like poop anymore! I give him one after every meal, since certain foods will cause his breath to be extra stinky. Will definitely be buying more in the future.",positive,Sentiment: Positive
4,B00JN9EP6E,Annessex Holland,5.0,Yogurt dog treats,2023-11-13,My dog loves them,neutral,Positive
5,B00JN9EP6E,RobSha,5.0,Good for teeth,2023-07-12,Our dogs love these and it takes a bit for them to finish...good product,positive,Positive
6,B00JN9EP6E,Brandon Simmons,3.0,Meh,2023-04-12,My dogs will eat these but aren’t excited when I give them these. They love Minties way better!,positive,Sentiment: Negative
7,B00JN9EP6E,EWA,5.0,SMALL DOGS? YES! Phenomenal!,2023-07-06,"I've been buying these for yrs now; a 7pk ONLY available at location near me, ONLY carried. $8+for 7pk; PLUS, ONLY option. WHAT?! I buy 2packs, split in half (dachshund & pug); lasts a month, & split in half easy enough to use hands! Buy! Buy! Buy!",positive,Positive
8,B00JN9EP6E,Tashanna Hammond,4.0,Wish it came with more,2023-01-09,Less content and I thought. Will pay the extra and get minties next time,negative,Negative
9,B00JN9EP6E,Kp,5.0,I was worried about these treats when I first took them out of the bag because they're hard like chalk and my dog is 13 years ol,2016-02-08,"My Yorkie loves these treats. I was worried about these treats when I first took them out of the bag because they're hard like chalk and my dog is 13 years old. She didn't like them right away but after she started to spend some time on them, they started to dissolve and she could chew on them more easily. These treats are great for distracting dogs but you also have to be careful if they're a smaller dog because the treat is really hard and I could see it could cause choking in over ambitious dogs that don't take the time to break down the treat. The only flaw in these treats is that my dog has a beard and these treats get really milky and foamy and once she finishes her treat it looks like she has rabies and that she's foaming at the mouth. I always find chunks of unfinished twistix dental chews melted to her beard with foam. She loves them so much and they're good for her teeth so I can't complain. I just have to clean her up every time after she's had one of these treats.",positive,Sentiment: Positive
10,B00JN9EP6E,DB's Treasures on Mercari,4.0,Dogs liked these dental stick!,2021-09-27,"My 3 dogs enjoyed these dental sticks, even my picky dog, but I'll probably not buy them again because with having 3 dogs I need bulk... So if they ever offer a bulk of 100+ dental sticks at a decent discounted price per piece then I'm on board!",positive,Positive
11,B00JN9EP6E,Samantha dolan,4.0,Dog breath saver,2021-04-05,My 20 pound dog loves these. I give her one early in the day and one later in the day after dinner and they really seem to be helping with her bad breath. They are the first ones we’ve gotten that actually smell minty.,negative,Positive
12,B00JN9EP6E,R. A. Hentz,5.0,Dogs love ‘em & Mom feels good serving them!,2020-02-12,"This is probably my 75th bag of this product!  While I haven’t personally tasted them, my doggos go nutso for these. They love all of the Twistix flavors, but I think this is their fave (or it would be mine if I could eat them!).  As their fur-mommy, I love these bc they’re Made in the USA, with high-quality ingredients!  They are a little higher in calories, but my boys are small, so I buy the large size stix & cut them into thirds!!  Less calories and I get more out of the bag!!  Great purchase!",positive,Sentiment: Positive
13,B00JN9EP6E,NNS,5.0,Girls love them!!,2017-11-06,"My girls LOVE these! Bonus, their breath smells great after I give them one. I wish there was a smaller size, I have to cut a half inch or so off the ones I give to buy 5lb dog. They take a long time to chew through, but my 6lb dog gets done with hers, before the 5lb one gets done with the one I made shorter.She then runs to get the other one, and of course the little one doesn't want that so she tries to eat it as quick as possible. That's why I make it smaller. I don't want her to choke.",positive,Sentiment: Positive
14,B00JN9EP6E,Suz,4.0,Best product we've tried so far,2017-07-22,"They actually help reduce dog breath! Best product we've tried so far. Surprisingly enough (with mint and vanilla flavor) they are my dog's favorite too - he'll do anything for them. The only drawback - the treats are large (even for my large dog - pictured) and seem pretty rich. I'd typically break them and feed half per day but they are more than difficult to break. Since they're so big, and with so few in the bag, i feed every other day.",positive,Overall Positive
